id,name,lat,lon,lat_0,lon_0,lat_1,lon_1,off_or_on_street,capacity
902,California and Steiner Lot,37.7889185029,-122.4348029307,NA,NA,NA,NA,OFF,11
930,16th and Hoff Garage,37.76425207,-122.4207729,NA,NA,NA,NA,OFF,70
931,Civic Center Garage,37.7802465669,-122.4177671135,NA,NA,NA,NA,OFF,843
932,Ellis OFarrell Garage,37.7863925455,-122.4071540583,NA,NA,NA,NA,OFF,950
933,Fifth and Mission Garage,37.7832776731,-122.405537559,NA,NA,NA,NA,OFF,2586
934,Golden Gateway Garage,37.79544154,-122.3986032,NA,NA,NA,NA,OFF,1142
935,Japan Center Garage,37.7849220106,-122.4301614271,NA,NA,NA,NA,OFF,745
936,Japan Center Annex Garage,37.7849547433,-122.4328661663,NA,NA,NA,NA,OFF,175
938,Lombard Street Garage,37.7996475876,-122.4348921128,NA,NA,NA,NA,OFF,205
939,Mission Bartlett Garage,37.7568400419,-122.4204335636,NA,NA,NA,NA,OFF,230
941,Moscone Center Garage,37.78452379,-122.3994795,NA,NA,NA,NA,OFF,752
943,Performing Arts Garage,37.77810302,-122.4225312,NA,NA,NA,NA,OFF,600
948,St. Marys Square Garage,37.79199927,-122.4045476,NA,NA,NA,NA,OFF,392
949,Sutter Stockton Garage,37.7897829226,-122.4068556189,NA,NA,NA,NA,OFF,1650
950,Union Square Garage,37.7876789151,-122.407447946,NA,NA,NA,NA,OFF,800
201001,1st St (1-99),NA,NA,37.7909273788,-122.3989076645,37.7899245625,-122.3976322671,ON,22
201002,1st St (2-98),NA,NA,37.7907925971,-122.3989941662,37.7899084691,-122.3978696439,ON,17
201021,1st St (201-299),NA,NA,37.7884691209,-122.3957865621,37.7874481996,-122.3945101589,ON,14
201022,1st St (200-298),NA,NA,37.7883494267,-122.3959414605,37.7873536512,-122.3946962382,ON,8
201031,1st St (301-399),NA,NA,37.7871927178,-122.3941913096,37.7862572923,-122.3930215248,ON,8
201032,1st St (300-360),NA,NA,37.7870850935,-122.3943602897,37.7864594649,-122.3935797626,ON,5
202001,2nd St (1-99),NA,NA,37.7891993563,-122.4011657614,37.7881764233,-122.3998792999,ON,null
202002,2nd St (36-98),NA,NA,37.7884731442,-122.4005079461,37.7880456649,-122.3999708308,ON,3
202021,2nd St (201-299),NA,NA,37.7865077449,-122.3977841481,37.7857332529,-122.3968165359,ON,6
202022,2nd St (200-298),NA,NA,37.78648763,-122.3980153549,37.7856316636,-122.3969462885,ON,5
202031,2nd St (301-399),NA,NA,37.7853228727,-122.396277409,37.7846640515,-122.3954486019,ON,11
202032,2nd St (300-398),NA,NA,37.7851136592,-122.396319654,37.7843482197,-122.395357071,ON,8
202041,2nd St (401-499),NA,NA,37.7840826795,-122.394721384,37.7832639308,-122.3936934218,ON,6
202042,2nd St (400-498),NA,NA,37.7838442969,-122.394727419,37.7831221082,-122.3938211627,ON,5
202051,2nd St (501-599),NA,NA,37.7830014082,-122.3933665258,37.7820348019,-122.3921595252,ON,4
202052,2nd St (500-548),NA,NA,37.7828957956,-122.3935385234,37.7825015088,-122.3930456649,ON,6
202054,2nd St (550-598),NA,NA,37.782312412,-122.3928102997,37.7818919734,-122.3922842486,ON,2
202061,2nd St (601-699),NA,NA,37.7815580366,-122.3915650774,37.7808026554,-122.3906205995,ON,4
202062,2nd St (600-698),NA,NA,37.7816747133,-122.3920136793,37.7808388654,-122.3909696238,ON,14
202071,2nd St (701-799),NA,NA,37.7805743311,-122.3903590827,37.7801227117,-122.3897646349,ON,5
202072,2nd St (700-798),NA,NA,37.7804264735,-122.3904335144,37.7801509775,-122.3900945651,ON,4
203031,3rd St (301-399),NA,NA,37.7837477369,-122.3987316435,37.7828193522,-122.3975719171,ON,10
203032,3rd St (300-398),NA,NA,37.7836310601,-122.3988905653,37.7826131563,-122.3976191913,ON,20
203041,3rd St (401-499),NA,NA,37.7825085496,-122.3971766244,37.7822389861,-122.3968376584,ON,4
203042,3rd St (434-466),NA,NA,37.7820086502,-122.3968547576,37.78175518,-122.3965359083,ON,2
203043,3rd St (467-499),NA,NA,37.7817501509,-122.3962251056,37.7814876282,-122.3958941863,ON,4
203044,3rd St (468-498),NA,NA,37.7814081674,-122.3961003822,37.7816445383,-122.3964061557,ON,6
203051,3rd St (501-549),NA,NA,37.781265339,-122.3956155703,37.7809243613,-122.3951890968,ON,3
203052,3rd St (500-598),NA,NA,37.7811707906,-122.3958026554,37.7801448401,-122.3945161939,ON,5
203053,3rd St (551-599),NA,NA,37.7806065178,-122.3947907866,37.780254476,-122.3943502313,ON,3
203061,3rd St (601-699),NA,NA,37.7800623617,-122.3941148662,37.7790665862,-122.3928686381,ON,9
203062,3rd St (600-698),NA,NA,37.7798913699,-122.3942074029,37.7789237578,-122.3929943673,ON,12
203071,3rd St (701-799),NA,NA,37.7788221686,-122.3925548179,37.7783967009,-122.3920287668,ON,7
203072,3rd St (700-798),NA,NA,37.7786974452,-122.392717763,37.7782196741,-122.3921132569,ON,8
204051,4th St (501-567),NA,NA,37.7794789781,-122.3978143231,37.7788664253,-122.397045866,ON,10
204052,4th St (500-598),NA,NA,37.7793783947,-122.3979943673,37.7783685375,-122.3967260109,ON,14
204061,4th St (601-699),NA,NA,37.7782780125,-122.3963065782,37.7773340458,-122.395121306,ON,5
204062,4th St (600-648),NA,NA,37.7779430698,-122.3961919131,37.7777932006,-122.3960028163,ON,1
205061,5th St (601-699),NA,NA,37.776331724,-122.3983061758,37.7755461678,-122.3973214645,ON,9
205062,5th St (600-698),NA,NA,37.7761878898,-122.3984308992,37.7753862402,-122.3974260712,ON,16
216291,16th St (2901-2999),NA,NA,37.7651015892,-122.4177016697,37.7650140817,-122.4191490646,ON,16
216292,16th St (2900-2998),NA,NA,37.7652293301,-122.4178626031,37.7651559042,-122.4190816737,ON,10
216302,16th St (3000-3070),NA,NA,37.7651025951,-122.4199537316,37.7650201167,-122.4213236773,ON,9
216311,16th St (3101-3199),NA,NA,37.7648239791,-122.4222922953,37.7647304365,-122.4238392678,ON,4
216312,16th St (3100-3198),NA,NA,37.7649708308,-122.4221333736,37.7648752766,-122.4237175619,ON,6
218341,18th St (3401-3499),NA,NA,37.7617712734,-122.4195171998,37.7616757192,-122.4211044056,ON,3
218342,18th St (3400-3498),NA,NA,37.7618597868,-122.4198792999,37.7617692617,-122.4213769865,ON,6
220351,20th St (3501-3599),NA,NA,37.7585737276,-122.4192576946,37.7584661034,-122.421028968,ON,12
220352,20th St (3500-3598),NA,NA,37.7586652585,-122.419291893,37.7585576343,-122.4210611547,ON,13
221321,21st St (3201-3249),NA,NA,37.7569784752,-122.4190746329,37.7569291893,-122.4198953933,ON,6
221322,21st St (3200-3298),NA,NA,37.7570679944,-122.4191460471,37.7569583585,-122.4209515188,ON,8
221323,21st St (3251-3299),NA,NA,37.7568658218,-122.4209474955,37.7569141018,-122.4201408167,ON,6
222321,22nd St (3201-3249),NA,NA,37.7553711527,-122.4189207403,37.755320861,-122.4197545765,ON,8
222322,22nd St (3200-3248),NA,NA,37.7554817944,-122.4189126936,37.7554325085,-122.4197304365,ON,8
222323,22nd St (3251-3299),NA,NA,37.7552584993,-122.4207976262,37.7553047677,-122.4200281633,ON,8
222324,22nd St (3250-3298),NA,NA,37.7553681352,-122.4208036612,37.755417421,-122.4199909475,ON,5
223331,23rd St (3301-3399),NA,NA,37.7537789177,-122.4187759002,37.7536702877,-122.4205803661,ON,9
223332,23rd St (3300-3398),NA,NA,37.7538694428,-122.4188302152,37.753764836,-122.4205632669,ON,8
305001,Avila St (1-99),NA,NA,37.800393281,-122.440381211,37.8005250453,-122.4404083685,ON,1
305002,Avila St (2-98),NA,NA,37.800429491,-122.4402826393,37.8005310803,-122.4403037618,ON,1
323001,Bartlett St (1-99),NA,NA,37.7568839268,-122.4199265741,37.7555290686,-122.4197968216,ON,11
323002,Bartlett St (2-98),NA,NA,37.7568527459,-122.4200764434,37.7555049286,-122.4199476966,ON,17
324021,Battery St (201-299),NA,NA,37.7933393683,-122.4000673909,37.793983102,-122.4002001609,ON,8
324022,Battery St (200-298),NA,NA,37.7933433917,-122.3999064575,37.7940112653,-122.4000432509,ON,10
324031,Battery St (301-399),NA,NA,37.7942164554,-122.4002474351,37.7947917924,-122.4003661235,ON,8
324032,Battery St (300-398),NA,NA,37.7943049688,-122.4001046067,37.7948481191,-122.4002162543,ON,7
324041,Battery St (401-499),NA,NA,37.7951096359,-122.4004425669,37.7957060954,-122.4005532086,ON,6
324052,Battery St (500-598),NA,NA,37.7960440555,-122.4004465902,37.7966294508,-122.4005662844,ON,2
325052,Bay St (500-598),NA,NA,37.8054657011,-122.4154546369,37.8052977268,-122.4167883726,ON,9
326022,Beach St (200-298),NA,NA,37.8077268155,-122.4124924562,37.8075578354,-122.4138181452,ON,7
326032,Beach St (300-398),NA,NA,37.8075075438,-122.4141933213,37.8073556628,-122.4154033394,ON,4
326042,Beach St (400-498),NA,NA,37.8073083887,-122.4158318246,37.8071424261,-122.4171343794,ON,11
326052,Beach St (500-598),NA,NA,37.8071031986,-122.4174351237,37.806931201,-122.4187849527,ON,6
326061,Beach St (641-699),NA,NA,37.8066777308,-122.4198561658,37.8066113458,-122.420387246,ON,2
326062,Beach St (600-698),NA,NA,37.806901026,-122.4190474754,37.8067803259,-122.4199476966,ON,4
326071,Beach St (701-799),NA,NA,37.8065670891,-122.4206920137,37.806398109,-122.422003621,ON,7
326072,Beach St (700-898),NA,NA,37.8066928183,-122.4208137196,37.8065047274,-122.4222671495,ON,8
326081,Beach St (801-899),NA,NA,37.8063588815,-122.4223174412,37.8061868839,-122.4236763227,ON,9
326082,Beach St (800-898),NA,NA,37.8064906457,-122.422378797,37.806295514,-122.4237306377,ON,3
328001,Beale St (1-99),NA,NA,37.7922751961,-122.3970891169,37.7913367532,-122.3958911688,ON,17
328002,Beale St (2-98),NA,NA,37.7922017703,-122.3972812311,37.7912180648,-122.396047073,ON,14
330021,Brannan St (269-299),NA,NA,37.782342587,-122.3912874673,37.781967411,-122.3917632267,ON,5
330022,Brannan St (272-298),NA,NA,37.7823586803,-122.3915751358,37.7820166968,-122.3920076443,ON,6
330031,Brannan St (301-399),NA,NA,37.7816787367,-122.3921343794,37.7801518809,-122.394061557,ON,20
330032,Brannan St (300-348),NA,NA,37.7817813317,-122.3923104003,37.781083283,-122.3931894991,ON,10
330034,Brannan St (350-398),NA,NA,37.7802454235,-122.394249648,37.780956548,-122.3933494267,ON,11
330041,Brannan St (401-499),NA,NA,37.7799255683,-122.3943482197,37.778419835,-122.3962542748,ON,24
330042,Brannan St (400-498),NA,NA,37.7800618776,-122.3944819571,37.7784922551,-122.3964685174,ON,16
330051,Brannan St (501-599),NA,NA,37.7781784349,-122.3965530074,37.7766455442,-122.3984942667,ON,29
330052,Brannan St (500-598),NA,NA,37.7782498491,-122.3967793201,37.7771313619,-122.3981955341,ON,8
331031,Bryant St (333-399),NA,NA,37.7841561054,-122.3921213036,37.7831532891,-122.39338966,ON,11
331032,Bryant St (332-398),NA,NA,37.7836662643,-122.3929983907,37.7832578958,-122.3935143834,ON,5
331041,Bryant St (401-449),NA,NA,37.7829139006,-122.3936612352,37.7821876886,-122.3945775498,ON,6
331042,Bryant St (400-498),NA,NA,37.7830456649,-122.3938191511,37.7815087508,-122.3957594045,ON,16
331043,Bryant St (451-499),NA,NA,37.782070006,-122.3947264132,37.7813387648,-122.3956487628,ON,6
331051,Bryant St (501-599),NA,NA,37.7811557031,-122.3958811104,37.779679139,-122.3977579964,ON,10
334181,Buchanan St (1801-1899),NA,NA,37.786604305,-122.4300673909,37.7871202977,-122.4301709918,ON,3
334182,Buchanan St (1800-1898),NA,NA,37.7866364917,-122.4299376383,37.7870740294,-122.4300261517,ON,2
336011,Bush St (101-199),NA,NA,37.7911959364,-122.4001921143,37.7911526856,-122.4005330919,ON,4
336012,Bush St (100-198),NA,NA,37.7913055723,-122.4001418226,37.7912572923,-122.4005210219,ON,6
336021,Bush St (201-251),NA,NA,37.791095353,-122.4009605713,37.7909716355,-122.4019322068,ON,11
336031,Bush St (311-399),NA,NA,37.7908660229,-122.4027529672,37.7907302354,-122.4038171394,ON,12
339011,Berry St (101-199),NA,NA,37.7771635486,-122.3914654999,37.7758579763,-122.3931211024,ON,11
339012,Berry St (100-198),NA,NA,37.7774391471,-122.391373969,37.7759977872,-122.3932015691,ON,25
339021,Berry St (201-299),NA,NA,37.7752001609,-122.3939800845,37.7739660028,-122.3955491853,ON,20
339022,Berry St (200-298),NA,NA,37.7755290686,-122.3937960169,37.7756910078,-122.393589821,ON,1
339031,Berry St (301-399),NA,NA,37.7738744719,-122.395659827,37.7722963186,-122.3976654597,ON,27
339041,Berry St (401-499),NA,NA,37.7721836653,-122.3978022531,37.7711144639,-122.3991339771,ON,15
339042,Berry St (400-498),NA,NA,37.7710038222,-122.3995322873,37.7717239992,-122.3986189901,ON,5
350231,California St (2353-2399),NA,NA,37.7888654194,-122.4334902434,37.7888382619,-122.4336954335,ON,2
350232,California St (2350-2398),NA,NA,37.7890283645,-122.4335455643,37.789007242,-122.4337135385,ON,1
350241,California St (2401-2499),NA,NA,37.7888050694,-122.433971032,37.7886310601,-122.4353399718,ON,8
350242,California St (2400-2498),NA,NA,37.7889720378,-122.4339871253,37.7888181452,-122.4352011668,ON,5
354201,Chestnut St (2001-2099),NA,NA,37.800708107,-122.4365972641,37.8005622611,-122.4377489439,ON,5
354202,Chestnut St (2000-2048),NA,NA,37.8008338363,-122.4365851941,37.8007573929,-122.4371967411,ON,7
354204,Chestnut St (2050-2098),NA,NA,37.800659827,-122.4379651981,37.8007030779,-122.4376191913,ON,4
354211,Chestnut St (2101-2199),NA,NA,37.8005300744,-122.4380044257,37.8003832227,-122.4391671696,ON,9
354212,Chestnut St (2100-2198),NA,NA,37.8006517803,-122.4380275598,37.8004828002,-122.4393623013,ON,11
354221,Chestnut St (2201-2299),NA,NA,37.8003228727,-122.4396459465,37.8001458459,-122.4410370147,ON,11
354222,Chestnut St (2200-2248),NA,NA,37.8004224502,-122.4398420841,37.8003771877,-122.4401951318,ON,3
354224,Chestnut St (2250-2298),NA,NA,37.8003067793,-122.4407543754,37.8003460068,-122.4404395494,ON,3
354231,Chestnut St (2301-2399),NA,NA,37.8000875075,-122.4414926574,37.799933615,-122.4427036814,ON,7
354232,Chestnut St (2300-2398),NA,NA,37.8002273184,-122.4413779924,37.8001126534,-122.4422731845,ON,8
354241,Chestnut St (2401-2499),NA,NA,37.7998974049,-122.4429873265,37.7998451016,-122.4433997184,ON,6
354242,Chestnut St (2400-2498),NA,NA,37.8000170992,-122.4430315832,37.7999567491,-122.4435033193,ON,4
359012,Clay St (100-198),NA,NA,37.7954828002,-122.3970046268,37.7953771877,-122.3978314222,ON,12
359032,Clay St (302-398),NA,NA,37.7952353651,-122.3993260913,37.7951287467,-122.4001619392,ON,5
359042,Clay St (400-498),NA,NA,37.795030175,-122.4004828002,37.7949295916,-122.4013126132,ON,5
359051,Clay St (501-599),NA,NA,37.7947555824,-122.4016938242,37.7946660632,-122.4026352847,ON,null
359241,Clay St (2401-2499),NA,NA,37.7908418829,-122.4326855763,37.7906688795,-122.4340504929,ON,3
359242,Clay St (2400-2440),NA,NA,37.7909615771,-122.4327227922,37.7909334138,-122.432942064,ON,2
359244,Clay St (2474-2498),NA,NA,37.7908137196,-122.4338875478,37.7907865621,-122.434097767,ON,3
359251,Clay St (2501-2599),NA,NA,37.790641722,-122.4343270972,37.790593442,-122.434703279,ON,2
363121,Columbus Ave (1201-1295),NA,NA,37.8052595051,-122.4175105613,37.8058348421,-122.4183303158,ON,6
363122,Columbus Ave (1200-1298),NA,NA,37.8056316636,-122.4177288272,37.8058801046,-122.4180818749,ON,3
363131,Columbus Ave (1297-1399),NA,NA,37.8060551197,-122.4186702877,37.8066485617,-122.4195433514,ON,8
363132,Columbus Ave (1350-1398),NA,NA,37.8064966807,-122.4190122712,37.8067038825,-122.4192939046,ON,6
364051,Commercial St (501-599),NA,NA,37.7943743714,-122.4015731241,37.7941983504,-122.4029390465,ON,7
370011,Capp St (101-199),NA,NA,37.7649778717,-122.4186129551,37.7636109435,-122.4184821967,ON,8
370012,Capp St (100-198),NA,NA,37.76493965,-122.4187547777,37.763607926,-122.4186270368,ON,13
380001,Davis St (1-99),NA,NA,37.7926704888,-122.3975186079,37.793299135,-122.3976483605,ON,4
380002,Davis St (2-98),NA,NA,37.792760008,-122.3973757795,37.7933584792,-122.3974994971,ON,9
380011,Davis St (101-199),NA,NA,37.7938915711,-122.3977690606,37.7942848521,-122.3978525448,ON,8
380012,Davis St (100-198),NA,NA,37.7936793402,-122.3975648763,37.7943049688,-122.3976976463,ON,11
380021,Davis St (201-399),NA,NA,37.7945755381,-122.3979139006,37.79498793,-122.3979973848,ON,2
380022,Davis St (200-398),NA,NA,37.7945564273,-122.3977318447,37.7951810501,-122.3978585798,ON,5
380031,Davis St (301-399),NA,NA,37.7954475961,-122.3980818749,37.796047073,-122.3982035808,ON,2
384321,Divisadero St (3201-3299),NA,NA,37.7991510762,-122.4427569905,37.7998712533,-122.4429028365,ON,5
384322,Divisadero St (3200-3298),NA,NA,37.7993482197,-122.4426403138,37.7998903641,-122.4427499497,ON,3
386001,Drumm St (7-99),NA,NA,37.7937869644,-122.3965379199,37.7944873102,-122.3966804204,ON,12
386011,Drumm St (101-199),NA,NA,37.7946710923,-122.3967179642,37.7951146651,-122.3968074834,ON,5
386012,Drumm St (100-198),NA,NA,37.7947254074,-122.3964765641,37.7953701469,-122.3966073225,ON,7
386021,Drumm St (201-299),NA,NA,37.7955773486,-122.3969020318,37.7962321464,-122.3970348019,ON,3
386031,Drumm St (301-399),NA,NA,37.7964333132,-122.3970790585,37.7970971635,-122.3972138403,ON,6
386032,Drumm St (300-398),NA,NA,37.7965821766,-122.3968939851,37.7972832428,-122.3970559244,ON,7
411001,Fell St (1-99),NA,NA,37.7764946691,-122.417984309,37.776343794,-122.4191641521,ON,12
411002,Fell St (2-98),NA,NA,37.77662241,-122.418038624,37.7764715349,-122.4192295313,ON,8
411011,Fell St (101-199),NA,NA,37.7762743915,-122.4197113257,37.7761194931,-122.4209273788,ON,8
411012,Fell St (100-198),NA,NA,37.7764051499,-122.4197465299,37.776253269,-122.420938443,ON,13
411021,Fell St (201-299),NA,NA,37.7760732247,-122.4212874673,37.775908268,-122.422584993,ON,12
411022,Fell St (200-298),NA,NA,37.7761999598,-122.4213578757,37.7760370147,-122.4226362905,ON,3
411031,Fell St (301-399),NA,NA,37.7758609938,-122.4229531281,37.7757231945,-122.4240364112,ON,16
411032,Fell St (300-398),NA,NA,37.7759847113,-122.4230466707,37.7758539529,-122.4240685979,ON,3
413211,Filbert St (2101-2199),NA,NA,37.7980406357,-122.4350975659,37.7979923557,-122.4354797827,ON,5
413212,Filbert St (2100-2198),NA,NA,37.7981180849,-122.4353379602,37.798092939,-122.4355340978,ON,2
413221,Filbert St (2201-2299),NA,NA,37.7979450815,-122.4358499296,37.7979169181,-122.4360752364,ON,3
413222,Filbert St (2200-2298),NA,NA,37.798050694,-122.4358961979,37.7980255482,-122.4360671897,ON,3
415101,Fillmore St (1001-1099),NA,NA,37.778734661,-122.4318517401,37.7794266747,-122.431991551,ON,6
415111,Fillmore St (1101-1199),NA,NA,37.779673104,-122.4320418427,37.7801921143,-122.4321464494,ON,4
415112,Fillmore St (1100-1198),NA,NA,37.7798782941,-122.4319472943,37.7803731644,-122.4320478777,ON,6
415121,Fillmore St (1201-1299),NA,NA,37.7805954536,-122.4322279219,37.7813095957,-122.432372762,ON,10
415122,Fillmore St (1200-1298),NA,NA,37.7806125528,-122.4320961577,37.7813156307,-122.4322379803,ON,5
415131,Fillmore St (1301-1399),NA,NA,37.7817290284,-122.4324572521,37.7823224703,-122.4325779521,ON,5
415132,Fillmore St (1300-1398),NA,NA,37.7817471334,-122.4323254878,37.7822510561,-122.432427077,ON,5
415141,Fillmore St (1401-1499),NA,NA,37.7824602696,-122.4326051096,37.7829933615,-122.4327137397,ON,5
